Time,Range,Angle,X,Y,Velocity
0,,,,,
1,293.74414515985,3.01,-37.73261730429584,15.084191918659464,0.0
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,0.0
3,292.98117335424,3.03,-36.952304666986265,15.095963293615107,0.0
4,292.59968745143505,3.03,-36.567909818720466,15.05162868615055,0.0
5,,,,,
6,292.21820154863,3.03,-36.18350050976153,15.00729241084587,0.0
7,291.836715645825,3.05,-35.78755302838698,15.062715148472321,0.0
8,,,,,
9,,,,,
10,291.073743840215,3.07,-35.007165202899046,15.073254090980228,0.0
11,290.69225793741003,3.09,-34.61118200422379,15.127992738895976,0.0
12,290.310772034605,3.09,-34.226746158666,15.083245417970197,0.0
13,289.9292861318,3.1,-33.83652487076614,15.088035695430477,0.0
14,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
16,288.784828423385,3.12,-32.671586665384496,15.052249841696892,0.0
17,288.40334252058005,3.11,-32.29285619152165,14.958023609978241,0.0
18,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,0.0
19,288.02185661777503,3.14,-31.891074281287786,15.06073396178126,0.0
20,287.64037071497006,3.13,-31.51233069668939,14.966506195883,0.0
