Time,Range,Angle,X,Y,Velocity
0,,,,,
1,293.74414515985,3.01,-37.73261730429584,15.084191918659464,0.0
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,0.0
3,292.98117335424,3.03,-36.952304666986265,15.095963293615107,0.0
4,292.59968745143505,3.02,-36.57367405144953,15.001612647430441,0.0
5,,,,,
6,292.21820154863,3.05,-36.17196135610499,15.107187284873518,0.0
7,291.836715645825,3.05,-35.78755302838698,15.062715148472321,0.0
8,,,,,
9,,,,,
10,291.073743840215,3.05,-35.01869258260001,14.973765809571418,0.0
11,290.69225793741003,3.08,-34.616959594796924,15.078318212440323,0.0
12,290.310772034605,3.09,-34.226746158666,15.083245417970197,0.0
13,289.9292861318,3.1,-33.83652487076614,15.088035695430477,0.0
14,289.5478002289951,3.09,-33.45782996590577,14.993745596244281,0.0
15,289.5478002289951,3.12,-33.4405156261127,15.142159239455324,0.0
16,288.784828423385,3.11,-32.67735106587003,15.002913839641344,0.0
17,288.40334252058005,3.11,-32.29285619152165,14.958023609978241,0.0
18,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,0.0
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
20,287.64037071497006,3.13,-31.51233069668939,14.966506195883,0.0
